ZONA;SEÇÃO;LOCAL;ENDEREÇO;BAIRRO;ELEITORES
1;148;ADAPI - AGÊNCIA DE DEFESA AGROPECUÁRIA DO PIAUÍ;RUA DEZENOVE DE NOVEMBRO,1920 PRIMAVERA;MEMORARE;269
1;149;ADAPI - AGÊNCIA DE DEFESA AGROPECUÁRIA DO PIAUÍ;RUA DEZENOVE DE NOVEMBRO,1920 PRIMAVERA;MEMORARE;274
1;150;ADAPI - AGÊNCIA DE DEFESA AGROPECUÁRIA DO PIAUÍ;RUA DEZENOVE DE NOVEMBRO,1920 PRIMAVERA;MEMORARE;267
1;400;ADAPI - AGÊNCIA DE DEFESA AGROPECUÁRIA DO PIAUÍ;RUA DEZENOVE DE NOVEMBRO,1920 PRIMAVERA;MEMORARE;271
1;514;ADAPI - AGÊNCIA DE DEFESA AGROPECUÁRIA DO PIAUÍ;RUA DEZENOVE DE NOVEMBRO,1920 PRIMAVERA;MEMORARE;61
1;469;AEROPORTO DE TERESINA;AV CENTENÁRIO, S/N;AEROPORTO;0
1;546;AEROPORTO DE TERESINA;AV CENTENÁRIO, S/N;AEROPORTO;0
1;185;CCL - CENTRO CULTURAL DE LINGUAS PADRE RAIMUNDO JOSÉ;RUA PRIMEIRO DE MAIO, 2371;AEROPORTO;265
1;186;CCL - CENTRO CULTURAL DE LINGUAS PADRE RAIMUNDO JOSÉ;RUA PRIMEIRO DE MAIO, 2371;AEROPORTO;264
1;187;CCL - CENTRO CULTURAL DE LINGUAS PADRE RAIMUNDO JOSÉ;RUA PRIMEIRO DE MAIO, 2371;AEROPORTO;266
1;188;CCL - CENTRO CULTURAL DE LINGUAS PADRE RAIMUNDO JOSÉ;RUA PRIMEIRO DE MAIO, 2371;AEROPORTO;264
1;288;CCL - CENTRO CULTURAL DE LINGUAS PADRE RAIMUNDO JOSÉ;RUA PRIMEIRO DE MAIO, 2371;AEROPORTO;263
1;307;CCL - CENTRO CULTURAL DE LINGUAS PADRE RAIMUNDO JOSÉ;RUA PRIMEIRO DE MAIO, 2371;AEROPORTO;264
1;508;CCL - CENTRO CULTURAL DE LINGUAS PADRE RAIMUNDO JOSÉ;RUA PRIMEIRO DE MAIO, 2371;AEROPORTO;267
1;57;CEMEI HELENA MARIA DE RODRIGUES CARVALHO;RUA JOSÉ MARQUES DA ROCHA 2361;AEROPORTO;388
1;58;CEMEI HELENA MARIA DE RODRIGUES CARVALHO;RUA JOSÉ MARQUES DA ROCHA 2361;AEROPORTO;390
1;59;CEMEI HELENA MARIA DE RODRIGUES CARVALHO;RUA JOSÉ MARQUES DA ROCHA 2361;AEROPORTO;386
1;455;CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL  CORINA MACHADO VIEIRA;RESIDENCIAL JACINTA ANDRADE, ÁREA INSTITUCIONAL  N. 1;SANTA ROSA;393
1;466;CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL  CORINA MACHADO VIEIRA;RESIDENCIAL JACINTA ANDRADE, ÁREA INSTITUCIONAL  N. 1;SANTA ROSA;386
1;470;CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL  CORINA MACHADO VIEIRA;RESIDENCIAL JACINTA ANDRADE, ÁREA INSTITUCIONAL  N. 1;SANTA ROSA;391
1;495;CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL  CORINA MACHADO VIEIRA;RESIDENCIAL JACINTA ANDRADE, ÁREA INSTITUCIONAL  N. 1;SANTA ROSA;394
1;504;CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL  CORINA MACHADO VIEIRA;RESIDENCIAL JACINTA ANDRADE, ÁREA INSTITUCIONAL  N. 1;SANTA ROSA;392
1;539;CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL  CORINA MACHADO VIEIRA;RESIDENCIAL JACINTA ANDRADE, ÁREA INSTITUCIONAL  N. 1;SANTA ROSA;390
1;543;CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL  CORINA MACHADO VIEIRA;RESIDENCIAL JACINTA ANDRADE, ÁREA INSTITUCIONAL  N. 1;SANTA ROSA;391
1;553;CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL  CORINA MACHADO VIEIRA;RESIDENCIAL JACINTA ANDRADE, ÁREA INSTITUCIONAL  N. 1;SANTA ROSA;390
1;558;CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL  CORINA MACHADO VIEIRA;RESIDENCIAL JACINTA ANDRADE, ÁREA INSTITUCIONAL  N. 1;SANTA ROSA;150
1;157;COLÉGIO ALSISTE;RUA GASTOR DE GRESLAN, 2031;ALVORADA;336
